Time,Value,Var,Unit
1977,23574.76,Centropages typicus fall,num per 100m3
1978,95762.1,Centropages typicus fall,num per 100m3
1979,34763.4,Centropages typicus fall,num per 100m3
1980,59122.03,Centropages typicus fall,num per 100m3
1981,9701.624,Centropages typicus fall,num per 100m3
1982,30922.87,Centropages typicus fall,num per 100m3
1983,87016.78,Centropages typicus fall,num per 100m3
1984,58151.17,Centropages typicus fall,num per 100m3
1985,14487.93,Centropages typicus fall,num per 100m3
1986,19882.2,Centropages typicus fall,num per 100m3
1987,31496.39,Centropages typicus fall,num per 100m3
1988,32137.55,Centropages typicus fall,num per 100m3
1989,73684.44,Centropages typicus fall,num per 100m3
1990,70587.59,Centropages typicus fall,num per 100m3
1991,43044.08,Centropages typicus fall,num per 100m3
1992,68354.62,Centropages typicus fall,num per 100m3
1993,53696.58,Centropages typicus fall,num per 100m3
1994,50682.08,Centropages typicus fall,num per 100m3
1995,13405.65,Centropages typicus fall,num per 100m3
1996,51015.82,Centropages typicus fall,num per 100m3
1997,31899.92,Centropages typicus fall,num per 100m3
1998,68418.6,Centropages typicus fall,num per 100m3
1999,36253.54,Centropages typicus fall,num per 100m3
2000,41625.97,Centropages typicus fall,num per 100m3
2001,16936.78,Centropages typicus fall,num per 100m3
2002,21620.57,Centropages typicus fall,num per 100m3
2003,9034.725,Centropages typicus fall,num per 100m3
2004,24456.2,Centropages typicus fall,num per 100m3
2005,15152.59,Centropages typicus fall,num per 100m3
2006,18521.97,Centropages typicus fall,num per 100m3
2007,19051.54,Centropages typicus fall,num per 100m3
2008,31620.31,Centropages typicus fall,num per 100m3
2009,16761.91,Centropages typicus fall,num per 100m3
2010,29836.17,Centropages typicus fall,num per 100m3
2011,33558.37,Centropages typicus fall,num per 100m3
2012,10371.33,Centropages typicus fall,num per 100m3
2013,35670.67,Centropages typicus fall,num per 100m3
2014,17596.57,Centropages typicus fall,num per 100m3
2015,10337.18,Centropages typicus fall,num per 100m3
1977,25730.42,Centropages typicus spring,num per 100m3
1978,6515.452,Centropages typicus spring,num per 100m3
1979,23460.58,Centropages typicus spring,num per 100m3
1980,32315.59,Centropages typicus spring,num per 100m3
1981,6858.772,Centropages typicus spring,num per 100m3
1982,6585.1,Centropages typicus spring,num per 100m3
1983,10588.63,Centropages typicus spring,num per 100m3
1984,29006.31,Centropages typicus spring,num per 100m3
1985,39517.89,Centropages typicus spring,num per 100m3
1986,66049.76,Centropages typicus spring,num per 100m3
1987,43302.37,Centropages typicus spring,num per 100m3
1988,26144.08,Centropages typicus spring,num per 100m3
1989,NA,Centropages typicus spring,num per 100m3
1990,39552.01,Centropages typicus spring,num per 100m3
1991,49340.74,Centropages typicus spring,num per 100m3
1992,36180.65,Centropages typicus spring,num per 100m3
1993,37312.28,Centropages typicus spring,num per 100m3
1994,4807.898,Centropages typicus spring,num per 100m3
1995,70813.01,Centropages typicus spring,num per 100m3
1996,46346.78,Centropages typicus spring,num per 100m3
1997,43537.13,Centropages typicus spring,num per 100m3
1998,54613.31,Centropages typicus spring,num per 100m3
1999,46196.71,Centropages typicus spring,num per 100m3
2000,104009.4,Centropages typicus spring,num per 100m3
2001,90565.41,Centropages typicus spring,num per 100m3
2002,103439.6,Centropages typicus spring,num per 100m3
2003,63103.05,Centropages typicus spring,num per 100m3
2004,115313.8,Centropages typicus spring,num per 100m3
2005,30316.1,Centropages typicus spring,num per 100m3
2006,113282,Centropages typicus spring,num per 100m3
2007,65202.87,Centropages typicus spring,num per 100m3
2008,110784,Centropages typicus spring,num per 100m3
2009,86061.99,Centropages typicus spring,num per 100m3
2010,37257.4,Centropages typicus spring,num per 100m3
2011,33535.79,Centropages typicus spring,num per 100m3
2012,121078.9,Centropages typicus spring,num per 100m3
2013,72555.02,Centropages typicus spring,num per 100m3
2014,55664.37,Centropages typicus spring,num per 100m3
2015,37587.57,Centropages typicus spring,num per 100m3
