Time,Value,Var,Unit,,,,,,,,,,,
1977,25602.43107,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1978,7641.843333,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1979,26354.48341,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1980,13659.0909,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1981,26584.5535,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1982,19725.35727,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1983,27382.045,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1984,8875.6655,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1985,23934.00922,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1986,17140.63,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1987,45911.70645,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1988,16384.67452,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1989,34876.74636,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1990,9213.098571,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1991,1153.012353,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1992,8613.241538,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1993,29923.5977,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1994,19199.98262,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1995,26233.34564,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1996,63058.11871,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1997,33070.33952,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1998,21437.43155,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
1999,18899.79831,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2000,43993.91765,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2001,42354.73327,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2002,25456.16955,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2003,100872.2264,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2004,41195.5675,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2005,25602.15786,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2006,18974.7882,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2007,40943.44261,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
2008,14186.17917,GB Calanus finmarchicus spring,num per 100m3,,,,,,,,,,,
